dimension,dimension_rank,mean_clean_variance_contribution,mean_noisy_variance_contribution,mean_delta_noisy_minus_clean
43,0,0.6411264538764954,0.6680853366851807,0.026958882808685303
35,1,0.6207846999168396,0.6463242769241333,0.0255395770072937
4,2,0.6752686500549316,0.7004321217536926,0.025163471698760986
34,3,0.5985589027404785,0.6220782399177551,0.02351933717727661
40,4,0.6358721256256104,0.6592148542404175,0.02334272861480713
41,5,0.6322627663612366,0.6554232835769653,0.02316051721572876
5,6,0.6251411437988281,0.6477270722389221,0.022585928440093994
32,7,0.6411992311477661,0.6635794043540955,0.022380173206329346
51,8,0.6369179487228394,0.6592365503311157,0.022318601608276367
38,9,0.6108428835868835,0.6331318020820618,0.022288918495178223
56,10,0.6180772185325623,0.6400694251060486,0.021992206573486328
8,11,0.6192110776901245,0.6407631039619446,0.02155202627182007
16,12,0.6326398253440857,0.6540049910545349,0.02136516571044922
29,13,0.6408765316009521,0.6616452932357788,0.02076876163482666
26,14,0.5991370677947998,0.6193464398384094,0.02020937204360962
12,15,0.6227498054504395,0.6428045034408569,0.02005469799041748
24,16,0.6061524152755737,0.6258625388145447,0.019710123538970947
47,17,0.6036891937255859,0.6232020258903503,0.019512832164764404
61,18,0.5847914218902588,0.604265570640564,0.019474148750305176
13,19,0.6530855894088745,0.6722106337547302,0.019125044345855713
3,20,0.612823486328125,0.6318418383598328,0.019018352031707764
58,21,0.6170904636383057,0.6360934376716614,0.019002974033355713
48,22,0.6050897240638733,0.6237965226173401,0.018706798553466797
1,23,0.5796106457710266,0.5983082056045532,0.01869755983352661
27,24,0.6173269152641296,0.635992169380188,0.01866525411605835
10,25,0.6180233955383301,0.6366468667984009,0.0186234712600708
39,26,0.6398367285728455,0.6582411527633667,0.01840442419052124
17,27,0.6121901869773865,0.6303983330726624,0.01820814609527588
33,28,0.606610894203186,0.6245650053024292,0.017954111099243164
11,29,0.6196229457855225,0.6374035477638245,0.017780601978302002
37,30,0.6018813848495483,0.6195806860923767,0.01769930124282837
23,31,0.6351724863052368,0.6525068879127502,0.017334401607513428
44,32,0.6168500185012817,0.6341056823730469,0.017255663871765137
21,33,0.5967718362808228,0.6138642430305481,0.017092406749725342
14,34,0.612282931804657,0.629189133644104,0.01690620183944702
6,35,0.5868659615516663,0.6034823656082153,0.016616404056549072
25,36,0.6146240234375,0.6310043334960938,0.01638031005859375
50,37,0.5971006155014038,0.6133686304092407,0.016268014907836914
15,38,0.5801418423652649,0.5956090688705444,0.015467226505279541
45,39,0.5657638907432556,0.5812121629714966,0.015448272228240967
57,40,0.5875459909439087,0.6029404997825623,0.015394508838653564
36,41,0.5981191992759705,0.6133698225021362,0.015250623226165771
59,42,0.5827538967132568,0.5979079604148865,0.015154063701629639
60,43,0.5913909077644348,0.6060025095939636,0.014611601829528809
53,44,0.5850309133529663,0.5995071530342102,0.014476239681243896
18,45,0.5701722502708435,0.5845305919647217,0.014358341693878174
62,46,0.5926157236099243,0.606514036655426,0.013898313045501709
7,47,0.5732546448707581,0.5870810747146606,0.013826429843902588
52,48,0.570516049861908,0.5835933089256287,0.013077259063720703
2,49,0.5540257692337036,0.5654894709587097,0.011463701725006104
22,50,0.5616136193275452,0.5714917182922363,0.009878098964691162
31,51,0.5538175702095032,0.5634498000144958,0.009632229804992676
20,52,0.5574530363082886,0.5670057535171509,0.009552717208862305
63,53,0.5724347233772278,0.5817907452583313,0.009356021881103516
9,54,0.5379524827003479,0.5473009943962097,0.009348511695861816
30,55,0.5484474301338196,0.5575168132781982,0.009069383144378662
0,56,0.5249211192131042,0.5336647629737854,0.008743643760681152
55,57,0.5860581994056702,0.5947291254997253,0.008670926094055176
54,58,0.5923267602920532,0.6009624600410461,0.00863569974899292
19,59,0.5469332337379456,0.5555063486099243,0.00857311487197876
49,60,0.5523965954780579,0.5604099035263062,0.008013308048248291
28,61,0.5774444341659546,0.5852174162864685,0.007772982120513916
42,62,0.5210110545158386,0.5264158248901367,0.005404770374298096
46,63,0.5928055644035339,0.5926889777183533,-0.00011658668518066406
