noise_ratio,edge_type,predictive_uncertainty
0.1,clean,1.525093674659729
0.1,clean,0.8898999094963074
0.1,clean,0.9248157739639282
0.1,clean,1.0688846111297607
0.1,clean,1.1012420654296875
0.1,clean,1.1356838941574097
0.1,clean,0.981430172920227
0.1,clean,1.208972454071045
0.1,clean,0.9560262560844421
0.1,clean,1.009120225906372
0.1,clean,1.255657434463501
0.1,clean,1.0309607982635498
0.1,clean,1.14156174659729
0.1,clean,0.9405415058135986
0.1,clean,1.856024980545044
0.1,clean,1.0076979398727417
0.1,clean,1.7445170879364014
0.1,clean,1.5356756448745728
0.1,clean,1.0612525939941406
0.1,clean,1.8848793506622314
0.1,clean,1.440680742263794
0.1,clean,1.077103853225708
0.1,clean,2.154463529586792
0.1,clean,0.9840984344482422
0.1,clean,1.1417980194091797
0.1,clean,1.186030626296997
0.1,clean,0.8798604607582092
0.1,clean,0.9411693215370178
0.1,clean,1.516498327255249
0.1,clean,1.1985771656036377
0.1,clean,1.1205079555511475
0.1,clean,1.7136955261230469
0.1,clean,0.9701933860778809
0.1,clean,1.8363659381866455
0.1,clean,1.0508084297180176
0.1,clean,0.8396048545837402
0.1,clean,0.9692176580429077
0.1,clean,0.9938662648200989
0.1,clean,1.2192836999893188
0.1,clean,1.2722890377044678
0.1,clean,1.0723788738250732
0.1,clean,1.0020661354064941
0.1,clean,0.9596898555755615
0.1,clean,1.1153260469436646
0.1,clean,1.8931169509887695
0.1,clean,1.1905372142791748
0.1,clean,1.4436073303222656
0.1,clean,1.2227340936660767
0.1,clean,1.0047972202301025
0.1,clean,1.2882640361785889
0.1,clean,1.0967050790786743
0.1,clean,0.9771949052810669
0.1,clean,0.9326320886611938
0.1,clean,1.153581142425537
0.1,clean,1.075430154800415
0.1,clean,0.9961037635803223
0.1,clean,1.540381669998169
0.1,clean,1.0467824935913086
0.1,clean,1.1941816806793213
0.1,clean,1.1269768476486206
0.1,clean,1.0470165014266968
0.1,clean,0.9116385579109192
0.1,clean,0.8421531915664673
0.1,clean,0.9339990615844727
0.1,clean,1.2433112859725952
0.1,clean,0.9438397884368896
0.1,clean,1.069521188735962
0.1,clean,1.0941557884216309
0.1,clean,0.9309778213500977
0.1,clean,1.0225776433944702
0.1,clean,1.1430455446243286
0.1,clean,0.8342547416687012
0.1,clean,1.5970807075500488
0.1,clean,1.1233445405960083
0.1,clean,0.8617913126945496
0.1,clean,1.452402114868164
0.1,clean,1.1013180017471313
0.1,clean,1.05059015750885
0.1,clean,2.527660369873047
0.1,clean,1.22983980178833
0.1,clean,1.1073113679885864
0.1,clean,1.865896224975586
0.1,clean,0.9658032059669495
0.1,clean,1.0468803644180298
0.1,clean,0.957205057144165
0.1,clean,1.2730247974395752
0.1,clean,1.1396287679672241
0.1,clean,0.9819139838218689
0.1,clean,0.9242923259735107
0.1,clean,1.099819302558899
0.1,clean,1.068621277809143
0.1,clean,1.8810533285140991
0.1,clean,1.0856695175170898
0.1,clean,1.2047621011734009
0.1,clean,1.020456075668335
0.1,clean,1.0528016090393066
0.1,clean,0.948007345199585
0.1,clean,1.0243704319000244
0.1,clean,1.128232479095459
0.1,clean,1.743515968322754
0.1,clean,0.9924139976501465
