metric,pearson_r,pearson_p,spearman_r,spearman_p,mannwhitney_stat_clean_vs_noisy,mannwhitney_p_clean_vs_noisy
mean_raw_user_variance,-0.7734360502837163,0.12496272023146367,-0.7,0.1881204043741873,,
mean_raw_item_variance,-0.6019800854572321,0.28274195661726625,-0.6,0.28475697986529375,,
mean_post_user_variance,-0.795307153935373,0.1076917017611724,-0.7,0.1881204043741873,,
mean_post_item_variance,-0.839437819272464,0.07534463869441997,-0.7,0.1881204043741873,,
mean_clean_edge_uncertainty,-0.7076392647654324,0.18121089075910646,-0.7,0.1881204043741873,,
mean_noisy_edge_uncertainty,-0.6197240723470387,0.2648551828250314,-0.6,0.28475697986529375,422959052.0,0.0
